Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2023-05-01,161.83,163.17,163.28,158.83,108.58M,-1.51%,0
2023-04-28,164.31,160.90,165.00,157.32,122.52M,2.57%,0.2023
2023-04-27,160.19,152.64,160.48,152.37,125.99M,4.19%,0
2023-04-26,153.75,160.29,160.67,153.14,152.25M,-4.31%,0
2023-04-25,160.67,159.82,163.47,158.75,120.69M,-1.16%,-0.4019
2023-04-24,162.55,164.65,165.65,158.61,139.38M,-1.53%,0
2023-04-21,165.08,164.80,166.00,161.32,123.54M,1.28%,-0.3248
2023-04-20,162.99,166.16,169.70,160.56,210.97M,-9.75%,-0.0258
2023-04-19,180.59,179.10,183.50,177.65,114.00M,-2.02%,0.7184
2023-04-18,184.31,187.15,187.69,183.58,91.46M,-1.46%,0
2023-04-17,187.04,186.32,189.69,182.69,116.66M,1.10%,0
2023-04-14,185.00,183.95,186.28,182.01,96.44M,-0.48%,0
2023-04-13,185.90,182.96,186.50,180.94,112.33M,2.97%,0
2023-04-12,180.54,190.74,191.58,180.31,149.25M,-3.35%,0
2023-04-11,186.79,186.69,189.19,185.65,115.18M,1.24%,0
2023-04-10,184.51,179.94,185.10,176.11,141.56M,-0.30%,0
2023-04-06,185.06,183.08,186.39,179.74,123.86M,-0.25%,0
2023-04-05,185.52,190.51,190.68,183.76,133.20M,-3.67%,0
2023-04-04,192.58,197.32,198.74,190.32,125.90M,-1.12%,0.1531
2023-04-03,194.77,199.91,202.69,192.20,168.60M,-6.12%,0
2023-03-31,207.46,197.53,207.79,197.20,170.22M,6.24%,0
2023-03-30,195.28,195.58,197.33,194.42,109.61M,0.72%,0
2023-03-29,193.88,193.13,195.29,189.44,123.66M,2.48%,-0.5994
2023-03-28,189.19,192.00,192.35,185.43,98.18M,-1.37%,-0.3612
2023-03-27,191.81,194.41,197.39,189.94,120.25M,0.74%,0
2023-03-24,190.41,191.65,192.36,187.15,116.53M,-0.94%,0
2023-03-23,192.22,195.26,199.31,188.65,143.36M,0.56%,0
2023-03-22,191.15,199.30,200.66,190.95,149.07M,-3.25%,0
2023-03-21,197.58,188.28,198.00,188.04,152.57M,7.82%,0
2023-03-20,183.25,178.08,186.44,176.35,129.31M,1.73%,0
2023-03-17,180.13,184.51,186.22,177.33,133.20M,-2.17%,0
2023-03-16,184.13,180.37,185.81,178.84,121.37M,2.04%,0
2023-03-15,180.45,180.80,182.34,176.03,144.60M,-1.53%,0
2023-03-14,183.26,177.31,183.80,177.14,142.66M,5.03%,0
2023-03-13,174.48,167.46,177.35,163.91,167.79M,0.60%,0
2023-03-10,173.44,175.13,178.29,168.44,191.49M,0.30%,0
2023-03-09,172.92,180.25,185.18,172.51,167.50M,-4.99%,0
2023-03-08,182.00,185.04,186.50,180.00,151.90M,-3.04%,0
2023-03-07,187.71,191.38,194.20,186.10,148.13M,-3.15%,0
2023-03-06,193.81,198.54,198.60,192.30,128.10M,-2.01%,0.4019
2023-03-03,197.79,194.79,200.48,192.88,153.44M,3.61%,0
2023-03-02,190.90,186.74,193.75,186.01,180.86M,-5.85%,0.3612
2023-03-01,202.77,206.21,207.20,198.52,145.64M,-1.43%,0
2023-02-28,205.71,210.59,211.23,203.75,153.14M,-0.92%,0.0
2023-02-27,207.63,202.03,209.42,201.26,161.03M,5.46%,0
2023-02-24,196.88,196.32,197.67,192.80,142.23M,-2.57%,0
2023-02-23,202.07,203.91,205.14,196.33,146.36M,0.60%,0
2023-02-22,200.86,197.93,201.99,191.78,191.83M,1.77%,0
2023-02-21,197.37,204.99,209.71,197.22,180.02M,-5.25%,0
2023-02-17,208.31,199.99,208.44,197.50,213.74M,3.10%,0.0
2023-02-16,202.04,210.78,217.65,201.84,225.50M,-5.69%,0.4653
2023-02-15,214.24,211.76,214.66,206.11,180.17M,2.38%,0.0
2023-02-14,209.25,191.94,209.82,189.44,216.46M,7.51%,0
2023-02-13,194.64,194.41,196.30,187.61,171.90M,-1.14%,0
2023-02-10,196.89,202.23,206.20,192.89,204.75M,-5.03%,0
2023-02-09,207.32,207.77,214.00,204.77,213.30M,3.00%,0.2023
2023-02-08,201.29,196.10,203.00,194.31,179.60M,2.28%,0
2023-02-07,196.81,196.43,197.50,189.55,185.21M,1.05%,0
2023-02-06,194.76,193.01,198.17,189.92,185.36M,2.52%,0
2023-02-03,189.98,183.95,199.00,183.69,232.66M,0.91%,0
2023-02-02,188.27,187.32,196.75,182.61,215.01M,3.78%,0.0
2023-02-01,181.41,173.89,183.80,169.93,210.47M,4.73%,0
2023-01-31,173.22,164.57,174.30,162.78,196.81M,3.94%,0.126
2023-01-30,166.66,178.05,179.77,166.50,228.97M,-6.32%,0
2023-01-27,177.90,162.43,180.68,161.17,306.59M,11.00%,0
2023-01-26,160.27,159.96,161.42,154.76,233.15M,10.97%,0.1531
2023-01-25,144.43,141.90,146.41,138.07,176.97M,0.38%,0
2023-01-24,143.89,143.00,146.50,141.10,156.01M,0.10%,0
2023-01-23,143.75,135.87,145.38,134.27,201.05M,7.74%,-0.2263
2023-01-20,133.42,128.68,133.51,127.35,138.86M,4.91%,0.3182
2023-01-19,127.17,127.26,129.99,124.31,169.34M,-1.25%,0
2023-01-18,128.78,136.55,136.68,127.01,195.68M,-2.06%,-0.5775
