"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2023","330.17","329.16","331.84","328.57","2.47M","0.49%"
"04/28/2023","328.55","325.44","328.81","325.19","2.91M","0.71%"
"04/27/2023","326.23","322.86","326.91","322.11","2.95M","1.78%"
"04/26/2023","320.53","323.31","323.74","319.00","2.72M","-1.17%"
"04/25/2023","324.34","325.99","327.10","324.11","2.55M","-0.52%"
"04/24/2023","326.05","324.43","326.39","324.30","2.26M","0.53%"
"04/21/2023","324.33","322.36","324.85","321.61","2.41M","0.16%"
"04/20/2023","323.82","322.20","324.37","321.32","2.43M","0.23%"
"04/19/2023","323.09","323.85","324.55","322.76","2.41M","-0.47%"
"04/18/2023","324.63","324.95","325.72","322.49","3.58M","0.26%"
"04/17/2023","323.79","320.20","323.98","319.00","3.43M","1.27%"
"04/14/2023","319.74","318.89","321.88","318.12","2.98M","0.53%"
"04/13/2023","318.05","315.27","318.81","313.26","3.33M","1.11%"
"04/12/2023","314.55","315.97","316.92","313.72","2.66M","0.27%"
"04/11/2023","313.70","312.56","315.94","311.77","3.11M","0.35%"
"04/10/2023","312.62","311.41","313.70","310.33","2.33M","0.04%"
"04/06/2023","312.51","309.82","313.22","309.05","3.13M","0.68%"
"04/05/2023","310.39","307.85","311.07","307.85","2.31M","0.43%"
"04/04/2023","309.07","310.76","311.00","307.07","2.74M","-0.40%"
"04/03/2023","310.31","309.25","311.50","308.24","4.86M","0.50%"
"03/31/2023","308.77","305.90","308.81","304.99","5.02M","1.21%"
"03/30/2023","305.08","307.09","307.47","302.58","2.69M","-0.07%"
"03/29/2023","305.30","304.80","305.38","303.36","2.65M","0.99%"
"03/28/2023","302.32","301.93","302.72","300.59","2.44M","0.06%"
"03/27/2023","302.14","300.88","303.21","298.97","3.84M","1.08%"
"03/24/2023","298.92","294.68","299.50","293.39","3.91M","0.18%"
"03/23/2023","298.37","301.39","302.08","296.30","4.02M","-0.45%"
"03/22/2023","299.73","303.72","307.05","299.65","3.09M","-1.36%"
"03/21/2023","303.85","304.56","305.63","302.25","4.73M","0.93%"
"03/20/2023","301.06","295.57","301.51","295.06","6.06M","2.57%"
"03/17/2023","293.51","301.30","301.30","292.42","15.61M","-2.81%"
